Attained age,Multiplicative factor to IAM 2012
50,0.6
51,0.6
52,0.6
53,0.6
54,0.6
55,0.6
56,0.6
57,0.6
58,0.6
59,0.6
60,0.6
61,0.6133333333333333
62,0.6266666666666666
63,0.6399999999999999
64,0.6533333333333332
65,0.6666666666666665
66,0.6799999999999998
67,0.6933333333333331
68,0.7066666666666664
69,0.7199999999999998
70,0.7333333333333331
71,0.7466666666666664
72,0.7599999999999997
73,0.773333333333333
74,0.7866666666666663
75,0.7999999999999996
76,0.8133333333333329
77,0.8266666666666662
78,0.8399999999999995
79,0.8533333333333328
80,0.8666666666666661
81,0.8799999999999994
82,0.8933333333333328
83,0.9066666666666661
84,0.9199999999999994
85,0.9333333333333327
86,0.946666666666666
87,0.9599999999999993
88,0.9733333333333326
89,0.9866666666666659
90,0.9999999999999992
