QualStatus,IssueAge,Gender,InitialBB,InitialPols,InitialPremium,Benefit_Base_Bucket,Percentage,CreditingStrategy,PolicyID,SCPeriod,valRate,MGIR,Bonus,RollupType,Rollup,RollupDuration,GLWBStartYear,WaitPeriod
N,57,Female,6940.19449,0.055692194,5338.611146,"[100000, 200000)",0.014229277,Indexed,42,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Female,3033.651695,0.024343802,2333.578227,"[100000, 200000)",0.006219807,Fixed,43,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Female,9100.955085,0.073031405,7000.734681,"[100000, 200000)",0.018659421,Indexed,44,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Female,6399.2452,0.051351299,4922.496307,"[100000, 200000)",0.013120185,Fixed,45,10,0.0475,0.01,0,Simple,0.1,10,9,8
N,57,Female,19197.7356,0.154053897,14767.48892,"[100000, 200000)",0.039360554,Indexed,46,10,0.0475,0.01,0,Simple,0.1,10,9,8
N,57,Female,7650.500432,0.061392105,5885.000332,"[100000, 200000)",0.015685597,Fixed,47,10,0.0475,0.01,0,Simple,0.1,10,10,9
N,57,Female,22951.5013,0.184176316,17655.001,"[100000, 200000)",0.04705679,Indexed,48,10,0.0475,0.01,0,Simple,0.1,10,10,9
N,57,Female,25062.2768,0.201114418,19278.67446,"[100000, 200000)",0.051384451,Fixed,49,10,0.0475,0.01,0,Simple,0.1,10,12,11
N,57,Female,75186.83039,0.603343254,57836.02338,"[100000, 200000)",0.154153353,Indexed,50,10,0.0475,0.01,0,Simple,0.1,10,12,11
N,57,Female,37404.74194,0.300157602,28772.87842,"[100000, 200000)",0.076689845,Fixed,51,10,0.0475,0.01,0,Simple,0.1,10,15,14
N,57,Female,112214.2258,0.900472806,86318.63525,"[100000, 200000)",0.230069536,Indexed,52,10,0.0475,0.01,0,Simple,0.1,10,15,14
N,57,Female,24995.06437,0.200575066,19226.97259,"[100000, 200000)",0.051246647,Fixed,53,10,0.0475,0.01,0,Simple,0.1,10,20,19
N,57,Female,74985.19311,0.601725198,57680.91777,"[100000, 200000)",0.153739942,Indexed,54,10,0.0475,0.01,0,Simple,0.1,10,20,19
N,57,Female,10113.01145,0.081152739,7779.239578,"[100000, 200000)",0.020734411,Fixed,55,10,0.0475,0.01,0,Simple,0.1,10,99,98
N,57,Female,30339.03435,0.243458217,23337.71873,"[100000, 200000)",0.062203232,Indexed,56,10,0.0475,0.01,0,Simple,0.1,10,99,98
N,57,Female,658.7430549,0.002356749,506.7254269,"[200000, 500000)",0.00097248,Fixed,57,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Female,1976.229165,0.007070248,1520.176281,"[200000, 500000)",0.00291744,Indexed,58,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Female,396.0086804,0.001416779,304.6220619,"[200000, 500000)",0.000584614,Fixed,59,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Female,1188.026041,0.004250336,913.8661856,"[200000, 500000)",0.001753843,Indexed,60,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Female,1018.696605,0.003644536,783.612773,"[200000, 500000)",0.001503867,Fixed,61,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Female,3056.089815,0.010933607,2350.838319,"[200000, 500000)",0.004511602,Indexed,62,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Female,1484.46042,0.005310873,1141.892631,"[200000, 500000)",0.002191459,Fixed,63,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Female,4453.38126,0.01593262,3425.677893,"[200000, 500000)",0.006574376,Indexed,64,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Female,2108.129667,0.007542141,1621.638205,"[200000, 500000)",0.003112161,Fixed,65,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Female,6324.389,0.022626423,4864.914615,"[200000, 500000)",0.009336482,Indexed,66,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Female,2913.896374,0.010424889,2241.458749,"[200000, 500000)",0.004301687,Fixed,67,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Female,8741.689121,0.031274666,6724.376247,"[200000, 500000)",0.01290506,Indexed,68,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Female,3914.162294,0.014003486,3010.894072,"[200000, 500000)",0.005778346,Fixed,69,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Female,11742.48688,0.042010457,9032.682216,"[200000, 500000)",0.017335037,Indexed,70,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Female,5100.837688,0.01824899,3923.721298,"[200000, 500000)",0.007530194,Fixed,71,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Female,15302.51306,0.05474697,11771.1639,"[200000, 500000)",0.022590583,Indexed,72,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Female,10615.68858,0.037979172,8165.914295,"[200000, 500000)",0.015671582,Fixed,73,10,0.0475,0.01,0,Simple,0.1,10,9,8
N,57,Female,31847.06575,0.113937517,24497.74289,"[200000, 500000)",0.047014747,Indexed,74,10,0.0475,0.01,0,Simple,0.1,10,9,8
N,57,Female,12476.5737,0.04463676,9597.364384,"[200000, 500000)",0.018418744,Fixed,75,10,0.0475,0.01,0,Simple,0.1,10,10,9
N,57,Female,37429.7211,0.13391028,28792.09315,"[200000, 500000)",0.055256233,Indexed,76,10,0.0475,0.01,0,Simple,0.1,10,10,9
N,57,Female,37151.01089,0.132913154,28577.70068,"[200000, 500000)",0.054844782,Fixed,77,10,0.0475,0.01,0,Simple,0.1,10,12,11
N,57,Female,111453.0327,0.398739461,85733.10204,"[200000, 500000)",0.164534347,Indexed,78,10,0.0475,0.01,0,Simple,0.1,10,12,11
N,57,Female,53262.76706,0.190555308,40971.35928,"[200000, 500000)",0.078630024,Fixed,79,10,0.0475,0.01,0,Simple,0.1,10,15,14
N,57,Female,159788.3012,0.571665925,122914.0778,"[200000, 500000)",0.235890071,Indexed,80,10,0.0475,0.01,0,Simple,0.1,10,15,14
N,57,Female,29701.85761,0.106262723,22847.58278,"[200000, 500000)",0.043847849,Fixed,81,10,0.0475,0.01,0,Simple,0.1,10,20,19
N,57,Female,89105.57284,0.318788168,68542.74834,"[200000, 500000)",0.131543547,Indexed,82,10,0.0475,0.01,0,Simple,0.1,10,20,19
N,57,Female,8543.317417,0.030564963,6571.782629,"[200000, 500000)",0.012612211,Fixed,83,10,0.0475,0.01,0,Simple,0.1,10,99,98
N,57,Female,25629.95225,0.091694888,19715.34789,"[200000, 500000)",0.037836633,Indexed,84,10,0.0475,0.01,0,Simple,0.1,10,99,98
N,57,Female,110.5027739,0.001690974,85.00213373,"[50000, 100000)",0.00050898,Fixed,85,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Female,331.5083216,0.005072922,255.0064012,"[50000, 100000)",0.001526941,Indexed,86,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Female,73.10437878,0.001118683,56.23413752,"[50000, 100000)",0.000336722,Fixed,87,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Female,219.3131363,0.00335605,168.7024126,"[50000, 100000)",0.001010165,Indexed,88,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Female,207.2053475,0.00317077,159.3887289,"[50000, 100000)",0.000954396,Fixed,89,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Female,621.6160426,0.009512309,478.1661866,"[50000, 100000)",0.002863189,Indexed,90,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Female,302.9337584,0.004635658,233.025968,"[50000, 100000)",0.001395326,Fixed,91,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Female,908.8012753,0.013906975,699.0779041,"[50000, 100000)",0.004185977,Indexed,92,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Female,432.2317743,0.006614248,332.4859802,"[50000, 100000)",0.001990878,Fixed,93,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Female,1296.695323,0.019842743,997.4579407,"[50000, 100000)",0.005972633,Indexed,94,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Female,601.3850871,0.009202724,462.6039131,"[50000, 100000)",0.002770005,Fixed,95,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Female,1804.155261,0.027608173,1387.811739,"[50000, 100000)",0.008310014,Indexed,96,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Female,815.1403812,0.012473725,627.0310624,"[50000, 100000)",0.003754571,Fixed,97,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Female,2445.421144,0.037421175,1881.093187,"[50000, 100000)",0.011263712,Indexed,98,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Female,1075.158068,0.016452658,827.0446678,"[50000, 100000)",0.004952223,Fixed,99,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Female,3225.474204,0.049357974,2481.134003,"[50000, 100000)",0.014856668,Indexed,100,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Female,2296.805151,0.035146971,1766.773193,"[50000, 100000)",0.01057918,Fixed,101,10,0.0475,0.01,0,Simple,0.1,10,9,8
N,57,Female,6890.415452,0.105440914,5300.319578,"[50000, 100000)",0.03173754,Indexed,102,10,0.0475,0.01,0,Simple,0.1,10,9,8
N,57,Female,2790.347061,0.04269942,2146.420816,"[50000, 100000)",0.012852455,Fixed,103,10,0.0475,0.01,0,Simple,0.1,10,10,9
N,57,Female,8371.041184,0.12809826,6439.262449,"[50000, 100000)",0.038557364,Indexed,104,10,0.0475,0.01,0,Simple,0.1,10,10,9
N,57,Female,9967.728608,0.152531646,7667.483545,"[50000, 100000)",0.045911773,Fixed,105,10,0.0475,0.01,0,Simple,0.1,10,12,11
N,57,Female,29903.18582,0.457594939,23002.45063,"[50000, 100000)",0.137735319,Indexed,106,10,0.0475,0.01,0,Simple,0.1,10,12,11
N,57,Female,15708.85831,0.240385559,12083.73716,"[50000, 100000)",0.072355655,Fixed,107,10,0.0475,0.01,0,Simple,0.1,10,15,14
N,57,Female,47126.57492,0.721156678,36251.21148,"[50000, 100000)",0.217066966,Indexed,108,10,0.0475,0.01,0,Simple,0.1,10,15,14
N,57,Female,12556.15549,0.192141173,9658.581144,"[50000, 100000)",0.057834175,Fixed,109,10,0.0475,0.01,0,Simple,0.1,10,20,19
N,57,Female,37668.46646,0.576423519,28975.74343,"[50000, 100000)",0.173502525,Indexed,110,10,0.0475,0.01,0,Simple,0.1,10,20,19
N,57,Female,7338.983248,0.112305144,5645.371729,"[50000, 100000)",0.033803662,Fixed,111,10,0.0475,0.01,0,Simple,0.1,10,99,98
N,57,Female,22016.94974,0.336915432,16936.11519,"[50000, 100000)",0.101410987,Indexed,112,10,0.0475,0.01,0,Simple,0.1,10,99,98
N,57,Female,356.8311182,0.000580789,274.4854756,"[500000, Inf)",0.001417957,Fixed,113,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Female,1070.493355,0.001742368,823.4564267,"[500000, Inf)",0.00425387,Indexed,114,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Female,190.8434696,0.000310623,146.8026689,"[500000, Inf)",0.000758364,Fixed,115,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Female,572.5304088,0.000931868,440.4080067,"[500000, Inf)",0.002275091,Indexed,116,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Female,436.6515664,0.000710707,335.8858203,"[500000, Inf)",0.001735143,Fixed,117,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Female,1309.954699,0.002132122,1007.657461,"[500000, Inf)",0.005205429,Indexed,118,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Female,635.4057268,0.001034206,488.773636,"[500000, Inf)",0.002524942,Fixed,119,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Female,1906.217181,0.003102617,1466.320908,"[500000, Inf)",0.007574825,Indexed,120,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Female,900.5532527,0.001465768,692.7332713,"[500000, Inf)",0.003578571,Fixed,121,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Female,2701.659758,0.004397304,2078.199814,"[500000, Inf)",0.010735713,Indexed,122,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Female,1241.275146,0.002020337,954.8270354,"[500000, Inf)",0.004932514,Fixed,123,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Female,3723.825438,0.006061011,2864.481106,"[500000, Inf)",0.014797541,Indexed,124,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Female,1660.992658,0.002703482,1277.68666,"[500000, Inf)",0.006600365,Fixed,125,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Female,4982.977973,0.008110446,3833.059979,"[500000, Inf)",0.019801095,Indexed,126,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Female,2153.514433,0.003505126,1656.549564,"[500000, Inf)",0.008557522,Fixed,127,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Female,6460.543299,0.010515377,4969.648691,"[500000, Inf)",0.025672567,Indexed,128,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Female,4432.894281,0.007215114,3409.918677,"[500000, Inf)",0.017615202,Fixed,129,10,0.0475,0.01,0,Simple,0.1,10,9,8
N,57,Female,13298.68284,0.021645341,10229.75603,"[500000, Inf)",0.052845606,Indexed,130,10,0.0475,0.01,0,Simple,0.1,10,9,8
N,57,Female,5138.295389,0.008363246,3952.534915,"[500000, Inf)",0.020418288,Fixed,131,10,0.0475,0.01,0,Simple,0.1,10,10,9
N,57,Female,15414.88617,0.025089737,11857.60474,"[500000, Inf)",0.061254863,Indexed,132,10,0.0475,0.01,0,Simple,0.1,10,10,9
N,57,Female,13951.04309,0.022707142,10731.5716,"[500000, Inf)",0.05543792,Fixed,133,10,0.0475,0.01,0,Simple,0.1,10,12,11
N,57,Female,41853.12926,0.068121426,32194.71481,"[500000, Inf)",0.166313761,Indexed,134,10,0.0475,0.01,0,Simple,0.1,10,12,11
N,57,Female,19969.85842,0.032503549,15361.42955,"[500000, Inf)",0.079355172,Fixed,135,10,0.0475,0.01,0,Simple,0.1,10,15,14
N,57,Female,59909.57525,0.097510646,46084.28866,"[500000, Inf)",0.238065515,Indexed,136,10,0.0475,0.01,0,Simple,0.1,10,15,14
N,57,Female,9678.885061,0.015753648,7445.296201,"[500000, Inf)",0.038461444,Fixed,137,10,0.0475,0.01,0,Simple,0.1,10,20,19
N,57,Female,29036.65518,0.047260943,22335.8886,"[500000, Inf)",0.115384331,Indexed,138,10,0.0475,0.01,0,Simple,0.1,10,20,19
N,57,Female,2165.864174,0.003525226,1666.049364,"[500000, Inf)",0.008606597,Fixed,139,10,0.0475,0.01,0,Simple,0.1,10,99,98
N,57,Female,6497.592521,0.010575679,4998.148093,"[500000, Inf)",0.025819791,Indexed,140,10,0.0475,0.01,0,Simple,0.1,10,99,98
N,57,Male,23.4520492,0.000844021,18.04003784,"[0, 50000)",0.000318379,Fixed,141,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Male,70.3561476,0.002532063,54.12011353,"[0, 50000)",0.000955137,Indexed,142,10,0.0475,0.01,0,Simple,0.1,10,1,0
N,57,Male,15.85020934,0.000570437,12.19246872,"[0, 50000)",0.000215178,Fixed,143,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Male,47.55062802,0.00171131,36.57740617,"[0, 50000)",0.000645535,Indexed,144,10,0.0475,0.01,0,Simple,0.1,10,2,1
N,57,Male,45.93505767,0.001653167,35.33465975,"[0, 50000)",0.000623602,Fixed,145,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Male,137.805173,0.0049595,106.0039792,"[0, 50000)",0.001870807,Indexed,146,10,0.0475,0.01,0,Simple,0.1,10,3,2
N,57,Male,67.28870385,0.002421668,51.76054142,"[0, 50000)",0.000913494,Fixed,147,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Male,201.8661116,0.007265003,155.2816243,"[0, 50000)",0.002740481,Indexed,148,10,0.0475,0.01,0,Simple,0.1,10,4,3
N,57,Male,96.27932821,0.003465017,74.0610217,"[0, 50000)",0.001307063,Fixed,149,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Male,288.8379846,0.010395052,222.1830651,"[0, 50000)",0.003921188,Indexed,150,10,0.0475,0.01,0,Simple,0.1,10,5,4
N,57,Male,134.4881017,0.004840121,103.4523859,"[0, 50000)",0.001825775,Fixed,151,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Male,403.4643052,0.014520364,310.3571578,"[0, 50000)",0.005477325,Indexed,152,10,0.0475,0.01,0,Simple,0.1,10,6,5
N,57,Male,183.2805223,0.006596122,140.9850172,"[0, 50000)",0.002488168,Fixed,153,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Male,549.8415669,0.019788366,422.9550515,"[0, 50000)",0.007464504,Indexed,154,10,0.0475,0.01,0,Simple,0.1,10,7,6
N,57,Male,243.5068597,0.008763621,187.312969,"[0, 50000)",0.003305785,Fixed,155,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Male,730.520579,0.026290862,561.9389069,"[0, 50000)",0.009917355,Indexed,156,10,0.0475,0.01,0,Simple,0.1,10,8,7
N,57,Male,528.5373397,0.019021644,406.5671844,"[0, 50000)",0.007175284,Fixed,157,10,0.0475,0.01,0,Simple,0.1,10,9,8
N,57,Male,1585.612019,0.057064932,1219.701553,"[0, 50000)",0.021525852,Indexed,158,10,0.0475,0.01,0,Simple,0.1,10,9,8
N,57,Male,655.2784189,0.023582956,504.0603222,"[0, 50000)",0.008895887,Fixed,159,10,0.0475,0.01,0,Simple,0.1,10,10,9
N,57,Male,1965.835257,0.070748868,1512.180967,"[0, 50000)",0.026687662,Indexed,160,10,0.0475,0.01,0,Simple,0.1,10,10,9
N,57,Male,2744.937346,0.098788141,2111.490266,"[0, 50000)",0.037264547,Fixed,161,10,0.0475,0.01,0,Simple,0.1,10,12,11
N,57,Male,8234.812038,0.296364422,6334.470798,"[0, 50000)",0.111793642,Indexed,162,10,0.0475,0.01,0,Simple,0.1,10,12,11
N,57,Male,4444.405682,0.159950672,3418.773601,"[0, 50000)",0.060336082,Fixed,163,10,0.0475,0.01,0,Simple,0.1,10,15,14
N,57,Male,13333.21705,0.479852017,10256.3208,"[0, 50000)",0.181008247,Indexed,164,10,0.0475,0.01,0,Simple,0.1,10,15,14
