PolicyID,TotalHedgeGains,Excel,Difference
1220,529.051445,529.8111253,-0.759680264
2620,521.217038,521.961507,-0.744468983
1098,440.24788,440.9661576,-0.718277636
2614,278.668899,279.3299855,-0.661086505
1214,273.987213,274.6371931,-0.649980055
2330,354.716863,355.3237419,-0.606878902
70,548.59805,549.1999833,-0.601933345
2760,465.612316,466.1998772,-0.587561211
958,338.211126,338.7937622,-0.5826362
2648,390.118026,390.6836246,-0.565598611
2642,233.324435,233.8827739,-0.558338945
2754,250.157087,250.6976161,-0.540529089
210,482.512502,483.0343347,-0.521832696
266,478.91131,479.4292478,-0.517937801
2470,301.959489,302.4487858,-0.489296845
296,135.771476,136.2478481,-0.476372129
1360,366.050041,366.5143991,-0.464358125
102,355.371231,355.8352092,-0.463978216
436,127.849644,128.2879591,-0.438315097
1354,190.489392,190.9009936,-0.411601613
1498,370.321105,370.7212536,-0.400148555
242,293.032129,293.408844,-0.376714959
1418,302.883897,303.2559809,-0.372083894
42,324.226086,324.5818496,-0.355763566
1638,330.208996,330.5606906,-0.351694559
182,288.291583,288.6033812,-0.311798168
930,177.174243,177.4773669,-0.303123871
126,232.80009,233.0555228,-0.25543285
1558,203.512127,203.7583087,-0.246181673
1070,150.58526,150.8292691,-0.244009098
1136,140.703467,140.8955532,-0.192086219
2536,133.110172,133.2909336,-0.180761624
2676,137.019638,137.1840829,-0.16444493
1130,70.423411,70.58442853,-0.161017532
18,130.764866,130.9255073,-0.160641316
2530,68.034635,68.19019111,-0.155556112
2670,70.376578,70.52318494,-0.146606938
2246,81.063292,81.19765134,-0.134359338
98,114.22605,114.3494763,-0.123426267
1276,100.263456,100.38442,-0.120963994
1270,50.426864,50.53191239,-0.10504839
238,94.226002,94.32635843,-0.100356432
158,81.489076,81.58765024,-0.098574244
1414,95.671285,95.76935937,-0.098074369
2386,58.435212,58.52695965,-0.091747647
846,44.416531,44.49014943,-0.073618433
1554,64.308467,64.37344912,-0.064982124
986,40.700856,40.76475961,-0.063903611
14,41.141835,41.18401042,-0.042175419
1602,667.568917,667.6034803,-0.034563252
154,25.648645,25.67456179,-0.025916794
1462,475.819503,475.8444783,-0.024975276
1574,289.644392,289.6594095,-0.015017456
1658,280.720251,280.7347853,-0.014534344
1434,264.924883,264.9388086,-0.013925564
1518,202.353553,202.3641742,-0.010621237
62,113.60091,113.6068726,-0.005962636
258,100.218784,100.2239727,-0.005188705
202,99.963471,99.96864617,-0.005175172
1490,75.212906,75.21681421,-0.003908212
34,66.322381,66.32586676,-0.003485757
1630,67.098019,67.10145885,-0.003439845
174,58.999709,59.00276772,-0.003058719
118,48.69361,48.69616591,-0.002555913
90,23.114729,23.11593039,-0.001201386
230,19.076615,19.07759265,-0.000977655
1406,19.17838,19.17933828,-0.000958276
1546,12.897595,12.89823062,-0.000635617
6,8.227601,8.228012375,-0.000411375
146,5.131735,5.131988361,-0.000253361
1898,89647.22774,89647.22776,-1.74437E-05
752,11067.80522,11067.80522,-4.36623E-06
2012,27530.10642,27530.10643,-4.26906E-06
2440,5172.840531,5172.840535,-4.00773E-06
1758,57335.27368,57335.27368,-4.00553E-06
498,14150.21171,14150.21171,-3.91439E-06
1928,12011.70305,12011.70306,-3.90178E-06
2464,9535.43593,9535.435934,-3.8447E-06
1754,26170.5892,26170.58921,-3.83168E-06
2032,10126.57402,10126.57402,-3.81023E-06
80,10206.07542,10206.07543,-3.74407E-06
360,11821.56182,11821.56183,-3.74285E-06
1730,37872.51629,37872.51629,-3.71952E-06
2042,22389.67022,22389.67022,-3.55369E-06
1816,12907.68689,12907.68689,-3.50336E-06
2040,38663.1428,38663.14281,-3.44864E-06
502,11716.89713,11716.89713,-3.44125E-06
1750,9118.919787,9118.91979,-3.42228E-06
2238,11849.6628,11849.6628,-3.26549E-06
2430,15406.48698,15406.48698,-3.24409E-06
2208,11701.51997,11701.51997,-3.06241E-06
332,9182.191926,9182.191929,-2.97076E-06
2462,15835.7762,15835.7762,-2.87699E-06
2514,10785.97584,10785.97584,-2.63608E-06
1476,8259.463559,8259.463562,-2.63251E-06
1204,10407.76929,10407.76929,-2.60677E-06
2028,7839.777409,7839.777412,-2.59838E-06
2410,3977.499401,3977.499404,-2.5953E-06
1030,8397.695697,8397.6957,-2.57335E-06
2298,7322.350469,7322.350472,-2.54428E-06
640,13973.01373,13973.01373,-2.4068E-06
1592,31225.10824,31225.10824,-2.40654E-06
2494,6319.287419,6319.287421,-2.38781E-06
1038,3948.370974,3948.370976,-2.35688E-06
2516,9951.978384,9951.978386,-2.34414E-06
2144,7431.083622,7431.083624,-2.32576E-06
918,11398.43765,11398.43765,-2.25364E-06
2148,10008.29303,10008.29303,-2.24925E-06
2216,4026.773446,4026.773448,-2.2099E-06
2454,9415.685956,9415.685958,-2.2039E-06
2184,9505.595315,9505.595317,-2.17246E-06
